text,label,roberta_results,btweet_results,bert_results,distil_results,rlarge_results,ensemble
ad 1745 jacobite rising bonnie prince charlie,0,0,0,0,0,0,0
<user> <user> many arrests taken place socialist media covering course coming arrests make socialists heads explode wwg1wga maga drain swamp build wall,1,0,0,0,1,1,0
<user> disgrace,1,1,1,1,1,1,1
damn <user> amp nigger music waking whole school morning 128664 127926 128543,1,1,1,1,1,1,1
<user> democrats republicans woman absolutely nothing gain coming forward much lose maga people seem mind sweeping much rug beyond,0,0,0,0,0,0,0
<user> <user> oh yes coward,1,1,1,1,1,1,1
<user> exhibit gor utter irrationality left respect support women think,1,1,1,1,1,1,1
modern day norman rockwell qanon maga url,0,0,0,0,0,0,0
<user> smoke weed public fuck cops man wan na run come retarded,1,1,1,1,1,1,1
rt <user> day later still gassing rihanna trash ass nudes,1,1,1,1,1,1,1
<user> <user> <user> <user> great liberals ignore pain victims democrats really sick,1,1,1,1,1,1,1
<user> <user> <user> <user> irresponsible amp believe ur smart enough understand evil fbi jd plot thwart dt leak press investigated thing u know wrong evil,1,1,1,1,1,1,1
20 crazy things liberals blame trump trumptrain url,0,0,1,0,1,0,0
<user> mocking non victims claiming victim hood,0,1,1,1,0,0,1
secondamendment saw dems kavanaugh hearings bring common sense gun control time time <user> chicago guy chicago toughest gun laws country yet gun violence capital usa dick,1,1,1,0,0,1,1
rt <user> recap dem governor candidate sc calls gop candidate whore tx dem gov candidate mocks gop candidate 8217 di 8230,1,1,1,1,1,1,1
<user> <user> damn mind feinstinkle band leaked took lie detector test hired lawyer last month accusing judge crime 35 years old proof ruining mans life accusation proof stfu,1,1,1,1,1,1,1
<user> <user> sure far left merkel lost faith indoctrinated germans southpole everything seems north far right maaßen removed called antifa spade spade well promoted spoke merkel amp press hysteria contradiction,0,0,0,0,0,0,0
<user> <user> need look twitter feed little bit closer neither republican racist thing liberals say people agree far hillary clinton evidence already presented obama gave pass,1,1,1,0,1,1,1
talk like rt <user> <user> <user> search lying evil cunt guess came top x,1,1,1,1,1,1,1
<user> rené fault specify make father anything father chose coward question hand rose throat clasping lightly ravenous time,1,1,1,1,1,1,1
<user> im askin negro lol,1,1,1,1,1,1,1
<user> wrong liberals scared say try stop us heard demswanttotalcontrol libsthinktheyhavealltheanswers freedomofspeechforall,0,0,0,0,0,0,0
<user> awh shit,1,1,1,1,1,1,1
<user> person <user> copycat nvsen url,0,0,0,0,0,0,0
<user> damn makin bitches jealous reality amp twitter facebook prolly mad bc pic posted wouldnt taken joke 128514,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> deserved better,0,0,0,0,0,0,0
<user> <user> lol would conservatives want hide contradicts everything ford claimed <emoji : man_shrugging_medium-light_skin_tone>,0,0,0,0,0,0,0
<user> <user> trap conservatives know soon go public termination list,1,0,1,0,0,0,0
fat bitch want skinny bitch cook nothin 128514 128514 128514 hoes hungry 128514 128514,1,1,1,1,1,1,1
ion speak flaw niggas thirsty hoes g boyyyyyy look 128586 128586,1,1,1,1,1,1,1
let nobody play gta bitches like using ya ammo n gettin ya dude kilt cops,1,1,1,1,1,1,1
levistrauss takes stand gun control sanfrancisco levistrauss amp company america safertomorrowfund url url,0,0,0,0,0,0,0
truth rt <user> faggot would turn hairy pussy,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <emoji : beaming_face_with_smiling_eyes> telesmokacatin damn looked better head <emoji : beaming_face_with_smiling_eyes> <emoji : winking_face> <emoji : rolling_on_the_floor_laughing> <emoji : smiling_face_with_sunglasses>,1,1,0,0,0,0,0
<user> seeing tweets week amp outta pocket <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy>,0,0,0,0,0,0,0
<user> bono gone dark side globalism,0,0,0,0,0,0,0
<user> <user> <user> <user> love graphic novels shelf priority excellent librarian <emoji : clapping_hands> <emoji : clapping_hands> <emoji : clapping_hands>,0,0,0,0,0,0,0
<user> many instances admire woman physique spend long looking woman bits comes question porn allows close personal experience long like challenges except course getting caught,0,1,0,0,0,1,0
<user> liberals really displaying hate amp message division republicans really need take advantage welcoming disgusted democrats enough party amp want solid policy amp insults,1,1,1,1,1,1,1
<user> even reason last thing mac would want would everyone harassing shit already grieving cmon dude,1,1,1,1,1,1,1
g like stop controllin like bitch fuck thought like niggah fuck mean,1,1,1,1,1,1,1
guncontrol robbery murder selfdense defend secondammendment want gun control three armed home invaders try ambush homeowner active self protection url via <user>,0,0,1,0,0,0,0
<user> <user> work oldest 20 daughter stood line amp voted 2016 still bitter amp tough get back year,0,0,0,0,0,0,0
put tits back shit bitch,1,1,1,1,1,1,1
<user> griexsevia,0,0,0,0,0,0,0
<user> dude fuck wrong sent direct tweet show tweet shit let go want double go back whoviille,1,1,1,1,1,1,1
<user> thought watching know going,0,0,0,0,0,0,0
<user> <user> <user> tourist holiday parents place sticker pole turkey parents ate restaurant call support,0,0,0,0,0,0,0
<user> <user> love woman telling truth every day conservatives point obvious people really stupid,1,1,1,1,1,1,1
<user> fingers crossed enjoying school going konjam sad little tears tanrums though,0,0,0,0,0,0,0
rt shit pussy joke end like rest show chicken shit mother fucker,1,1,1,1,1,1,1
<user> sounds amazing bloody disgrace mostly forgotten,0,1,1,1,0,1,1
<user> <user> know likely fake profile set 2 get conservatives unhinged nut report 2 get chest,0,0,1,0,0,0,0
<user> <user> admit 3000 americans died watch remind president us,0,0,0,0,0,0,0
young bitches talk new man allll day anyone really intrested shit lol,1,1,1,1,1,1,1
<user> become parody unto certainly taken heat well idiot could optic know liberals optics substance,1,1,1,1,1,1,1
<user> bitches crazy,1,1,1,1,1,1,1
8220 <user> aw omg show made cry 128557 128557 128557 128557 pussy man 8221 really,1,1,1,1,1,1,1
rt <user> always bit irony air chicks call strippers hoes grind yo dick 4 free song stri,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> said speech offends someone fined jailed asked fined wanting gun control offended,1,1,1,0,0,0,0
<user> happyhappy birthday missy <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> url,0,0,0,0,0,0,0
<user> stink prefer andriese one good thing stretched go 3 innings somehow torey still leave long though,0,0,0,0,0,0,0
<user> <user> <user> know never seen watch benfica games takes shit new level,1,1,1,1,1,1,1
<user> <user> piece shit sorry bluntness going say think whether bluntly rudely,1,1,1,1,1,1,1
rt <user> 8220 <user> stand messy hoe 8221 1 8419 0 8419 0 8419 0 8419 true story,1,1,1,1,1,1,1
<user> ihmykgodoosj epitome beauty,0,0,0,0,0,0,0
easiest way sex chick smell good make laugh take get food fuck right pussy,1,1,1,1,1,1,1
6 white boys standing every day ms <user> think poster adds speshul emphasis maga wwg1wga url,1,0,1,0,0,1,0
<user> <user> actually wrong numbers substantially better trump directly effect tax cuts deregulations,0,0,0,0,0,0,0
<user> connection motive two random shooting,0,0,0,0,0,0,0
<user> <user> news orgs giving faith goldy time day simply wrong may experience two useless fools cares one fool,1,1,1,1,1,1,1
<user> oh shit uhhh ao3 fic,1,1,1,1,1,1,1
<user> <user> president elected loves american citizens liberals shown true colors ant american horrible morals lawless behavior cant relitigate 2016 election elected get used,0,0,0,1,0,0,0
<user> clearly long safe one else matters lol <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy>,0,0,0,0,0,0,0
<user> <user> <user> please kill antifa hand,1,1,1,0,0,1,1
<user> <user> <user> <user> loved hate mr bobby brown show guy really screwed kids back day please let go hws drama favorite amp jerry maybe show andy,1,1,1,1,1,1,1
fuck bitches rt <user> stop women bashing rt <user> women exist generation,1,1,1,1,1,1,1
<user> <user> believe stuff bring gun control gun control disarming america,0,0,1,0,0,0,0
<user> idk going,0,0,0,0,0,0,0
<user> smells like another funding george soros follow money <emoji : yen_banknote> trail woman likely never knew judge kavanaugh liberals running scared judge conservative christians values man impeccable portfolio finestine dirty politician,1,1,1,1,0,1,1
<user> really bisca fool huh,1,1,1,1,1,1,1
<user> <user> everybody talks weather confront make sure suit us never happens blather violence action antifa crocheting doilies,0,1,0,0,0,0,0
<user> yup total gun control works fine well mexico,0,0,0,0,0,0,0
<user> ignorant fool become ag forgot ignorant obama current occupier white house learn ignorant idiot president united states think president leave country go hell,1,1,1,1,1,1,1
<user> proven record failure,0,1,0,0,0,0,0
<user> <user> progressive without palestine bds url,0,0,0,0,0,0,0
<user> bo bitterly po donald trumps presidency made look like bad president,0,1,1,1,1,1,1
8220 <user> shine hoes <url> look baby daddy,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> followed truly breathtaking amazing woman follow,0,0,0,0,0,0,0
<user> <user> poor comparison jay z literally said fucked nas baby mom left condom daughters baby seat cardi nicki fighting,1,1,1,1,1,1,1
truuuuuuuuue rt <user> bitch u fine tho rt <user> old old ass life fine,1,1,1,1,1,1,1
<user> <user> <user> sexy perverse woman <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : smiling_face_with_heart-eyes> <emoji : face_savoring_food> <emoji : face_savoring_food> <emoji : face_savoring_food> <emoji : winking_face> <emoji : winking_face> <emoji : smiling_face_with_horns>,1,1,1,0,1,1,1
<user> <user> <user> wow malloy voterednovember2018,0,0,0,0,0,0,0
<user> ko like damigo antifa girl berkeley blow kiss going,0,1,0,0,0,0,0
<user> believe soros also main financier socialist organizations antifa protestors paid actors <emoji : thumbs_down> <emoji : astonished_face>,0,0,0,0,0,0,0
<user> rino like mccain unelectable arizona,0,0,0,0,0,0,0
annnnd dyke 9995,1,1,1,1,1,1,1
westside screamin fuck kd bitch,1,1,1,1,1,1,1
<user> think worse 3 game start coach big time university life 1 2 almost lose fred samford university lol know sanford yea still owe whatever owed,0,0,0,0,0,0,0
<user> <user> liberals banished united states amp dropped middle east,0,0,0,0,0,0,0
california home skater trash,1,1,1,1,1,1,1
<user> <user> accuser <user> accusers believe accuse conservatives another elitist hollywood hypocrite,0,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> nothing isolating others quite hilarious watch also around idea anonymous years ago would know general resistance support senseless violence actually fought antifa like u,0,0,0,0,0,0,0
<user> <user> <user> free press mean mainstream corporate media ought look speaking come line journalists printers integral part truly free press shutting speech left antifa <user>,0,0,0,0,0,0,0
<user> hope enjoying <emoji : rolling_on_the_floor_laughing>,1,0,0,0,0,0,0
rt <user> hoes loyal,1,1,1,1,1,1,1
<user> <user> <user> president im <user>,0,0,0,0,0,0,0
rt <user> bitches hate another bitch relationship 128129,1,1,1,1,1,1,1
<user> seriously dick unfollowed,0,1,1,1,1,1,1
<user> <user> <user> well may right always optimist going carry possibly deranged mission believe achieve united front,0,0,0,0,0,0,0
<user> feel pretty fucked cuz started fine,1,1,1,1,1,1,1
<user> <user> truly anything avoid gun control,0,0,0,0,0,0,0
stayed put past 12 months according 2 federal reserve bank atlanta maga,0,0,0,0,0,0,0
<user> scale 1 10 much laugh excuse besides plain shit,1,1,1,1,1,1,1
<user> <user> conservatives showing support nafta talks gives us power country favours publicly criticizing ongoing talks political gain,0,0,0,0,0,0,0
<user> <user> lying needs sued defamation character include chuck schumer dianne feinstein lawsuit proof substantiated bunch man hating pc two girls want free sex abortions paid government,0,1,1,1,1,1,1
rt <user> <user> 128514 128514 128514 128514 128514 u hoe 128557 128557 128557 128557,1,1,1,1,1,1,1
<user> ahhh left punishes soldiers today last day forget 6 million dollar goodbye check thanks supporting cause,0,0,0,0,0,0,0
<user> <user> somehow thought harambe gone big ten led silverback book tour wonders never cease,0,0,0,0,0,0,0
<user> <user> boi,0,0,0,0,0,1,0
<user> create whole fake page talk shit <emoji : face_with_rolling_eyes> sis really miserable sad,1,1,1,1,1,1,1
8220 <user> bring anotha bitch nah 128527 8221,1,1,1,1,1,1,1
<user> <user> <user> liberals read read url,0,0,0,0,0,0,0
<user> <user> <user> true krishn bhakt even care presence absence laws would issues typical chandigarh mentality one manship caged call anything krishn bhakt like cares,1,1,0,1,0,0,0
<user> love momma,0,0,0,0,0,0,0
<user> remember game fucking started,0,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> ar 15 fully semi automatic assault rifle gun control works donald trump racist,1,1,1,1,1,1,1
<user> liberals ones arguing take away rights,0,0,0,0,0,0,0
<user> <user> something wrong tv liberals audio simply reverts blah blah blah blah blah blah blah looked troubleshooting fix source audio amp tv circuitry convert insane bs real words url,0,0,1,0,0,0,0
girl retarded,1,1,1,1,1,1,1
<user> <user> official unemployed numbers joke millions americans lost jobs career h 1b unemployment benefits ran years ago give jobs back end h 1b,1,0,0,0,0,0,0
<user> buying couple puzzle toys looking classes rn think becoming teenage monster,1,1,1,1,1,1,1
people jury selection retarded,1,1,1,1,1,1,1
<user> <user> <user> divert defame voted get things done b c well mannered,0,0,0,0,0,0,0
<user> war conservatives antifa,1,0,0,0,0,0,0
rt <user> us dykes get play niggas famu,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> mass school shooting numbers take republicans disinterest gun control keep nra coming account,0,0,0,0,0,0,0
<user> <user> sorry democratic party party hate formed kkk antifa gop finally got back office economy booming people jobs wow overlook liberal people trashy ignorant things planet,1,1,1,1,1,1,1
<user> <user> jack nicas covered google basically scratch back sell globalist agenda people get rare glimpse fake news media,0,1,0,0,0,0,0
<user> bible says thou shalt kill curious u stand gun control u want talk baby killers theres distinction bible gets killed,0,1,1,1,0,1,1
<user> carrey shut good,1,1,1,0,0,0,0
<user> <user> eric opens door runs couch fuck yeah,1,1,1,1,1,1,1
<user> <user> liberals realize thousands unaccompanied minors thrown across border supposed take care angelina jolie,1,0,0,0,0,1,0
sydney hoe asking dumb ass questions,1,1,1,1,1,1,1
<user> fuck care friend real friend <emoji : man_facepalming_medium_skin_tone> losing anyone special cuz even real friend sad,1,1,1,1,1,1,1
paybacks bitch bitch livin debt,1,1,1,1,1,1,1
<user> <user> watch watch <user> watching september 11th stories came together stood shoulder shoulder made proud even issues yet people playing damn game stand moment protest saturday,0,0,1,0,0,0,0
<user> netflix whisperer jack trades right <emoji : unamused_face>,0,0,0,0,0,0,0
<user> yeah series 3 books got sword art online novels mangas,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> sure use lots butter,0,0,0,0,0,0,0
<user> fuck,1,1,1,1,1,1,1
<user> <user> nobody voices opinions country louder conservatives idk fuck,1,1,1,1,1,1,1
<user> <user> resist dork probably refers potus frump drump tfrump refer however please frankly ms psychotic leftist activist lunatic dr ford better,0,1,1,1,1,1,1
<user> another lie anything diversion,1,1,1,0,0,1,1
long ass blog might make sense url,1,1,1,1,1,1,1
<user> <user> <user> interesting aware political system <user>,0,0,0,0,0,0,0
<user> shouldve played saint marie instead london docks saint ass <emoji : ok_hand>,0,0,1,0,0,1,0
<user> every one rank pretty rank guess outrank,0,0,0,0,0,0,0
democracy civil disobedience paramount dumpford dictatorship conservatives liars fascists onpoli topoli time ontario municipalities stand local democracy url via <user>,0,1,1,0,1,0,1
<user> trained psychologist course pass lie detector test,0,0,0,0,0,0,0
<user> credibly accused antifa mob dog whistle heard cocked loaded,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> didnt know statement entertainment root problem conservatives dont root serena even though greatest america female tennis player play game course side ref stems racial resentment,0,0,0,0,0,0,0
gop voters better wake hell rnc poll finds gop voters worried midterms bad url via <user> maga tuesdaythoughts,1,1,1,1,1,1,1
rt <user> dumb bitches broke tv went wal mart fucked wokeup smart tv lol,1,1,1,1,1,1,1
rt <user> damn girl u straight hoe 128514 128514 128514,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> blind man fash antifa needs thrash beating blind guys top,0,1,1,0,1,1,1
<user> pants drooping ass,1,1,1,1,1,1,1
<user> go date first sex best worlds sex better,1,1,0,1,0,1,1
niggas jus like btchs talking bout hoe right back face dnt come talking bout nan hoe gne b right back fwher 128134,1,1,1,1,1,1,1
rt <user> chicks think sex guy months automatically makes boyfriend bitch ask 128514,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> sounds like plan,0,0,0,0,0,0,0
<user> nail biter,1,0,0,0,0,1,0
<user> another phoney poll fakenews,0,1,1,0,0,0,0
<user> <user> <user> tory lady wrote failings,0,0,0,0,0,0,0
<user> colored people vote color referring white bright white color next racial dividing statement ms obama,1,0,0,0,0,1,0
<user> <user> <user> eat child wild,0,0,0,0,0,0,0
option save country <emoji : heart_suit> <emoji : united_states> <emoji : star> <emoji : united_states> <emoji : star> <emoji : united_states> <emoji : heart_suit> never stop fighting <emoji : heart_suit> vote maga red <emoji : heart_suit> url,0,0,0,0,0,0,0
<user> bono loves embraces fugitive roman polanski kind guy mates,0,0,0,0,0,0,0
<user> always tell worlds prettiest girl like dads always url,0,0,0,0,0,0,0
amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,1,0,1,1,1,1,1
128514 128514 128514 128514 128514 brittany bitch u dog man 128514 128514 128514 9996 65039 9996 65039 128553 128553 128553 128553 128553 128553 128569 128569 128584 128584 128584 128584,1,1,1,1,1,1,1
<user> talking chinese leader seeing pollute,1,0,0,0,0,0,0
<user> becoming unhinged game,0,0,1,1,0,0,0
<user> gun control,0,0,0,0,0,0,0
<user> <user> obama wanted liberals amp illegals move red states,0,0,0,0,0,0,0
<user> buy gun amp open carry exert coercive control entire town open carry demonstrator eventually stalked absolutely dynamic wrote <user> url,0,0,0,0,0,0,0
<user> one thing sure know write op ed dumber bucket rocks,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> antifa idiots forced use medicare fix broken parts body caused antifa requiring people kindness others pick wheelchairs thrown help ambulance arrived,0,1,1,1,0,1,1
<user> biggest thing fail everywhere else,1,0,0,0,0,0,0
<user> referred potus donald jourdan letter cc <user>,0,0,0,0,0,0,0
<user> <user> trump fucking asshole think otherwise idiot friends pr hurt one needs get educated educate everyday talk everyday stfu,1,1,1,1,1,1,1
<user> say conflicted article 7 would justified right stating really important decision taken postponed inside <user> sargentini report prelude want orban push harder,0,0,0,0,0,0,0
<user> <user> completely agree potential victim claim must afforded due process villianized,0,0,0,0,0,0,0
<user> cares broke home shot one needs held fully accountable actions,0,0,0,0,0,0,0
<user> lot pedophiles catholic church,1,1,1,1,1,1,1
8220 <user> 98 women sluts freshman year college 8221 let hoes great,1,1,1,1,1,1,1
2 2 mark judge kavanaugh bro liberals trying take fun away brent musburger call hot girl hot obama wants outlaw guns children children children one belch f cking children url,0,1,1,0,0,1,1
<user> <user> wait know oh boy,0,0,0,0,0,0,0
rt <user> wanted ex back believe fucking go get ass 128514 bout dig trash 128520 128686,1,1,1,1,1,1,1
<user> become issue choosen supreme court fact shows liberals,0,0,0,0,0,0,0
<user> made fooln last night kavanaugh like spiteful child seeking attention youngo wide eyed rant embarrassment chamber country,1,1,1,1,1,1,1
<user> <user> fear white people,1,1,1,1,0,1,1
temples playing life might working bitch semester cuz paying outta pocket,1,1,1,1,1,1,1
atleast let know ur faggot u keep type twitter secrets,1,1,1,1,1,1,1
<user> enough slow stop yelped loudly fear eyes thirium leaking gunshot wounds going nowhere desire die,0,1,0,0,0,0,0
<user> combined iq 6,0,0,0,0,0,0,0
<user> fools respect,1,1,1,1,1,1,1
rt <user> hoe live though,1,1,1,1,1,1,1
<user> <user> like railroad tracks laid across country,0,0,0,0,0,0,0
<user> great long wins title eventually,0,0,0,0,0,0,0
<user> <user> yes,0,0,0,0,0,0,0
<user> tweet deleted,0,0,0,0,0,0,0
<user> amen brother bringing back america great country bring president donald j trump,0,0,0,0,0,0,0
<user> <user> umm reporter asking question senator acting like baby really adults act like shame cbs shame,1,1,1,1,1,1,1
<user> pirates dark water another one loved wondered story would turned allowed finish,0,0,0,0,0,0,0
<user> <user> <user> restricting ammo infringing upon right bear arms women abortions restricted 1 3rd week pregnancy must registered easy test gun control laws apply rights see supported bad,1,0,0,0,0,1,0
sorry right wingers <emoji : flushed_face> <emoji : winking_face> look kaepernick sales bump nike earnings next week nikead boycottnfl boycottnike maga url,0,0,0,0,0,0,0
<user> women lose credibility empowered ohhhh women liberals high jacked movement women really abused disgusting,1,1,1,1,1,1,1
<user> better monday hell slow walk dictate terms maga,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> thank allowing aboard proudly following maga kag patriots <emoji : united_states>,0,0,0,0,0,0,0
<user> crazy russian dude owns data,0,1,1,1,1,1,1
<user> <user> <user> even voted leave vote <user> <user>,0,0,0,0,0,0,0
<user> good,0,0,0,0,0,0,0
<user> <user> exactly record basically saying president law noted gop fine rudy issues url,0,0,0,0,0,0,0
<user> serena upset losing upset penalty given men tennis action penalized,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> looks familiar serial female abuser maybe,0,1,1,1,0,1,1
<user> <user> 100 correct applauded criticizing inept corrupt president denounced <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user>,1,1,1,1,1,1,1
90 niggas goofy act like bitches,1,1,1,1,1,1,1
<user> <user> <user> <user> british builders,0,0,0,0,0,0,0
almost forgot 40 000 tweets still bitches,1,1,1,1,1,1,1
<user> <user> <user> pearl bhaiya amazing,0,0,0,0,0,0,0
<user> us conservatives hope,0,0,0,0,0,0,0
<user> thinks funny man think key word funny allinonlonnieisntfunny marchonfromwalker,0,0,0,0,0,0,0
rt <user> hoe ugly bitch dated please take seat,1,1,1,1,1,1,1
<user> right wingers white supremacy neo naziism right,1,1,0,0,0,0,0
<user> <user> realize violent trump supporters pale comparison left antifa ring bell,0,0,0,0,0,0,0
nappy chin hairs bitch mothafuckin q,1,1,1,1,1,1,1
<user> legalized federally since used back door gun control,0,0,0,0,0,0,0
sadiqkhan says must remember children warzones include london mr mayor balloon substance mayoroflondon maga mbga mega mcga conservatives patriots url,0,0,0,0,0,0,0
<user> think fbi original interview scare people feckless congress handle kids gloves demonized media left put oath attempt get truth protected liberals congress,0,0,1,0,0,0,0
<user> state level crime alleged offender juvenile silly liberals crime committed kavanaugh probably one liar ford democratsdividinganddestroyingamerica democratshateamerica,1,1,1,1,1,1,1
<user> replaces chickens gun control url,1,1,0,0,1,1,1
<user> <user> <user> <emoji : rolling_on_the_floor_laughing> <emoji : rolling_on_the_floor_laughing> exist,0,0,0,0,0,0,0
<user> flake well named,0,0,0,0,0,0,0
<user> scalp custer,0,0,0,0,0,0,0
<user> <user> <user> bitch hit girl,1,1,1,1,1,1,1
<user> <user> good grief,0,0,1,0,0,0,0
<user> battle cry nova scotia girl <emoji : canada> maga <emoji : united_states> world follow wwg1wga <emoji : globe_showing_americas> <emoji : globe_showing_europe-africa> <emoji : globe_showing_asia-australia> redwave2018 <emoji : woman_walking> <emoji : man_walking> walkaway trump2020 let freedom ring worldwide qanon url,0,0,0,0,0,0,0
<user> <user> <user> know belongs violent liberal antifa party w kkk hoods beat total strangers amp funded party violent amp corrupt party trying pour tears amp get us believe heart hard sell anyone including voters,1,1,1,1,1,0,1
rt <user> denial bitch youresilly,1,1,1,1,1,1,1
<user> <user> ummm last time checked chicago already gun control atrocious gun violence didnt start trump,0,1,1,0,0,0,0
attractive bitch making drinks tf think,1,1,1,1,1,1,1
sumn wrong wit da pussy een tho gonn hit ima still make sure dat gushy,1,1,1,1,1,1,1
<user> christians thinking women lie since eve start christianity conservatives give legislative judical teeth oppress women modern age kavanaugh kavanaughconfirmation metoo url,0,0,0,0,0,1,0
ruley bitch ry,1,1,1,1,1,1,1
<user> cunt 1st eu url,1,1,1,1,1,1,1
<user> <user> <user> glad hear jacob <user>,0,0,0,0,0,0,0
<user> need complete antifa look,0,0,0,0,0,0,0
<user> <user> fucking faggot,1,1,1,1,1,1,1
shit birds get yo self,1,1,1,1,1,1,1
<user> whole media country sets discredit tommy decide write criticism well pathetic know faults one perfect save attacks likes corbyn antifa like tommy stay away,0,1,1,1,0,0,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> senseless <emoji : crying_face> gun control vote blue end american nightmare,0,1,0,1,1,0,1
<user> omg even interested age damn fine af <emoji : winking_face_with_tongue>,1,0,0,0,1,0,0
<user> welcome mean super cute,0,0,0,0,0,0,0
deep bitch might drown,1,1,1,1,1,1,1
boy bitch still got proper amount sleep 128514 128557 9995 128553,1,1,1,1,1,1,1
8220 <user> lmaooo find shit funny hoes content working one nigga <url> boring,1,1,1,1,1,1,1
freshman ghetto lmao,1,1,1,1,1,1,1
say fool stands nothing well say cunt <url>,1,1,1,1,1,1,1
<user> abundantly clear lack common sense gun control measures real reason behind rather incompetent school board failure act upon reports poor staff security training,0,1,1,0,0,0,0
rt <user> 8220 <user> small ass pants 128514 8221 bitch 128514 128514 128514,1,1,1,1,1,1,1
<user> <user> <user> actually compliment since one biggest artists today thanks <emoji : grinning_face_with_big_eyes>,0,0,0,0,0,0,0
<user> ima make sick entrance song nig,1,1,1,1,1,1,1
<user> hey works people hate long still happy bitch want 128514 128077,1,1,1,1,1,1,1
<user> <user> <user> <user> exactly mean common sense gun control first need understand firearms function role constitutional republic banning law abiding citizens nothing protect law abiding citizens,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> least trying busy tweeting hate tweets like u n buddy aka bishop jonso,0,1,1,1,0,0,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> poetic words comrade going printed shirts soon available antifa store url,0,0,0,0,0,0,0
<user> <user> liberals go 2019 heads poor leader even poorer advisors,1,1,1,0,0,1,1
omg bobbybrown sister leolahbrown bet bobby roe story calling ex wife fabrication lies celebnmusic247 celebritynews breakingnews news thebobbybrownstory url url,0,0,0,0,0,0,0
<user> understand regulations work understand government control everything understand regulations stopped business growth trump politically correct get right america,0,0,0,0,0,0,0
<user> say grab difference maker home run hitter compliment smoke means release grant snead take know whole story browns would release legit number one wr,1,0,0,0,0,1,0
<user> smh u retarded lol,1,1,1,1,1,1,1
<user> <user> <user> please stop making easy right wing conservatards mock us left nothelping,1,0,0,0,0,1,0
<user> meant say time talk gun control,0,0,0,0,0,0,0
<user> things happen time time likely antifa group like causing trouble nothing better,0,0,0,0,0,0,0
lol bitches yea go get bouncer eye ballin clearly pussy ass,1,1,1,1,1,1,1
<user> <user> apparently learn gun control,0,0,0,0,0,0,0
<user> 10 cities total 30 people attending,0,0,0,0,0,0,0
<user> never watch another movie,0,0,0,0,0,0,0
<user> <user> oh wow look like 1980 porn star loveit,1,1,1,1,1,1,1
